subset,rule,sessions,unknown,coverage_count,coverage_pct,initial_hit_count,initial_hit_pct,single_request_delayed_count,single_request_delayed_pct,first_hit_after_user_update_count,first_hit_after_user_update_pct,early_le_1_count,early_le_1_pct,late_gt_1_count,late_gt_1_pct,early_le_2_count,early_le_2_pct,late_gt_2_count,late_gt_2_pct,early_le_3_count,early_le_3_pct,late_gt_3_count,late_gt_3_pct,early_le_5_count,early_le_5_pct,late_gt_5_count,late_gt_5_pct
tool_calling,assistant_decision/ge_16,316094,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tool_calling,length/ge_90,316094,0,312594,98.89273443975526,312594,98.89273443975526,0,0.0,0,0.0,312594,98.89273443975526,0,0.0,312594,98.89273443975526,0,0.0,312594,98.89273443975526,0,0.0,312594,98.89273443975526,0,0.0
tool_calling,length/ge_256,316094,0,294197,93.07263029352028,288573,91.29341271900131,4638,1.4672850481185977,986,0.31193252640037455,288573,91.29341271900131,5624,1.7792175745189722,293533,92.86256619866242,664,0.21006409485785874,294077,93.03466690288332,120,0.03796339063696242,294197,93.07263029352028,0,0.0
tool_calling,length/ge_512,316094,0,274404,86.81088536954198,216335,68.44008427872721,39026,12.346327358317463,19043,6.024473732497295,216335,68.44008427872721,58069,18.37080109081476,258371,81.73866001885516,16033,5.072225350686821,272551,86.22466734578954,1853,0.586218023752428,274389,86.80613994571235,15,0.0047454238296203025
tool_calling,length/ge_700,316094,0,255048,80.68739045979993,187636,59.36082304630901,36488,11.543401646345707,30924,9.783165767145217,187636,59.36082304630901,67412,21.326567413490924,222836,70.49675096648465,32212,10.19063949331528,245852,77.77812929065405,9196,2.909261169145887,254900,80.64056894468101,148,0.04682151511892032
tool_calling,length/ge_1024,316094,0,223872,70.82450157231709,139387,44.09669275595234,40224,12.725328541509803,44261,14.002480274854948,139387,44.09669275595234,84485,26.727808816364753,172421,54.54738147513081,51451,16.27712009718628,200121,63.310597480496305,23751,7.513904091820788,222637,70.43379501034502,1235,0.3907065619720716
tool_calling,length/ge_2048,316094,0,86876,27.48422937480623,14232,4.502458129543744,19123,6.049782659588604,53521,16.93198858567388,14232,4.502458129543744,72644,22.981771245262486,24320,7.6939138357577175,62556,19.79031553904851,38797,12.273880554518593,48079,15.210348820287637,77209,24.425961897410264,9667,3.0582674773959644
tool_calling,length/ge_4096,316094,0,9870,3.122488879890159,4241,1.3416894974279803,1277,0.4039937486950084,4352,1.3768056337671706,4241,1.3416894974279803,5629,1.780799382462179,4787,1.5144229248261594,5083,1.608065955064,5375,1.7004435389472752,4495,1.4220453409428842,7243,2.2914069865293234,2627,0.8310818933608357
tool_calling,length/ge_8192,316094,0,1639,0.5185166437831784,1039,0.3286996905983663,219,0.06928318791245643,381,0.1205337652723557,1039,0.3286996905983663,600,0.18981695318481212,1157,0.366030358058046,482,0.1524862857251324,1243,0.3932374546812024,396,0.125279189101976,1440,0.45556068764354907,199,0.06295595613962936
tool_calling,tool_success/ge_2,316094,704,87858,27.794896454852037,0,0.0,31507,9.967604573323126,56351,17.82729188152891,0,0.0,87858,27.794896454852037,13454,4.256328813580771,74404,23.538567641271268,27539,8.712281789594234,60319,19.082614665257804,74405,23.53888400285991,13453,4.256012451992129
tool_calling,tool_success/first_cross_immediate_2,316094,704,72897,23.061810727188746,0,0.0,24422,7.726182717799135,48475,15.335628009389612,0,0.0,72897,23.061810727188746,7807,2.469834922523047,65090,20.5919758046657,19595,6.199105329427322,53302,16.862705397761424,60767,19.22434465696913,12130,3.837466070219618
tool_calling,tool_success/ge_3,316094,704,36147,11.435522344619006,0,0.0,11436,3.6179111277025187,24711,7.817611216916487,0,0.0,36147,11.435522344619006,4670,1.477408618955121,31477,9.958113725663885,6940,2.1955494251709933,29207,9.239972919448013,18831,5.957405075705328,17316,5.478117268913677
tool_calling,tool_success/first_cross_immediate_3,316094,704,29862,9.447189760008099,0,0.0,9515,3.0101805159224786,20347,6.43700924408562,0,0.0,29862,9.447189760008099,3289,1.0405132650414117,26573,8.406676494966687,4733,1.4973393990395263,25129,7.949850360968573,14174,4.4841091574025445,15688,4.963080602605554
tool_calling,tool_success/ge_4,316094,704,10348,3.2737097192607263,0,0.0,2783,0.8804343011888869,7565,2.3932754180718394,0,0.0,10348,3.2737097192607263,1077,0.34072143096673774,9271,2.9329882882939886,1836,0.5808398767455251,8512,2.692869842515201,5245,1.6593165324238992,5103,1.614393186836827
tool_calling,tool_success/first_cross_immediate_4,316094,704,6996,2.213265674134909,0,0.0,1956,0.6188032673824875,5040,1.5944624067524218,0,0.0,6996,2.213265674134909,550,0.17399887375274445,6446,2.039266800382165,852,0.2695400735224332,6144,1.9437256006124761,2994,0.9471865963922125,4002,1.266079077742697
tool_calling,tool_success/ge_5,316094,704,5020,1.5881351749795947,0,0.0,1341,0.42424089036805507,3679,1.1638942846115397,0,0.0,5020,1.5881351749795947,472,0.14932266983871886,4548,1.4388125051408758,912,0.2885217688409144,4108,1.2996134061386804,2249,0.711497212854404,2771,0.8766379621251906
tool_calling,tool_success/first_cross_immediate_5,316094,704,3001,0.9494011275127019,0,0.0,944,0.2986453396774377,2057,0.6507557878352642,0,0.0,3001,0.9494011275127019,217,0.06865046473517371,2784,0.8807506627775282,421,0.13318822881800985,2580,0.816212898694692,1014,0.3207906508823325,1987,0.6286104766303694
tool_calling,tool_success/explicit_evidence_ge_3,316094,704,1003,0.3173106734072776,0,0.0,361,0.11420653349952863,642,0.20310413990774895,0,0.0,1003,0.3173106734072776,134,0.04239245287794137,869,0.27491822052933623,251,0.07940675874897973,752,0.23790391465829785,595,0.18823514524160534,408,0.12907552816567225
interactive_agent,lexical/latest_user/cf,19028,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
interactive_agent,lexical/latest_user/tq,19028,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
